Ligand ID,Stoichiometry,Denticity,Donors,Predicted Charge,Confident Charge,Graph ID,CSD Occurrences,CSD Complex IDs,CSD Metal Count
unq_CSD-PASQOP-03-a,C4H7,3,C-C-C,-1,True,ab1f79689f800764868d129e363cd36c,228,"PASQOP, PASQOP, PBPZMO, POJXIY, POJYAR, ... (223 more)","Mo(80), Pd(69), Ni(42), Ru(16), Pt(14), ... (4 more)"
unq_CSD-PASRUW-01-b,C4H9N1,1,N,0,True,0cada27b81bed0546028c3534f30d755,41,"PASRUW, PASRUW, PASSAD, PASSAD, PIXKAJ, ... (36 more)","Co(24), Pd(4), Cu(4), Ni(3), Fe(2), ... (3 more)"
unq_CSD-PASVUB-01-a,C7H6N2,1,C,0,True,0b03893a06ba82ae41b6a73e96dec770,17,"PASVUB, PASVUB, PASVUB, PASVUB, PASWAI, ... (12 more)","Pt(9), Re(3), Pd(3), Cr(1), W(1)"
unq_CSD-PASZUG-01-a,C13H9N1,1,N,0,True,23f4e1fde6395982e5a6bda0c907eded,4,"PASZUG, PASZUG, VERBAV, EDERAI","Rh(2), Pt(2)"
unq_CSD-PATPOS-01-a,C4H11N1,1,N,0,True,5047573e6db197eadd6a097bdec9aec8,51,"PATPOS, PATPOS, PATPUY, PATPUY, TEKZAK, ... (46 more)","Pd(13), Cu(8), Ni(7), Pt(7), Cr(4), ... (6 more)"
unq_CSD-PATQEJ-01-a,C6H13N1,1,N,0,True,40e83c9f35a944f2724f5053bbef8ccb,62,"PATQEJ, PATQEJ, PATQEJ, PAWKOQ, PAWKOQ, ... (57 more)","Pt(30), Ni(8), Ag(7), Au(6), Cu(5), ... (4 more)"
unq_CSD-PAVKUS-02-a,C15H11N3,2,N-N,0,True,3902dfad06db304bc381cb2f12416c0b,26,"PAVKUS, PAXDEY, PAXDOI, POPLIP10, SUHDII, ... (21 more)","Ru(10), Re(7), Ir(2), Fe(1), Cu(1), ... (5 more)"
unq_CSD-PAVNEG-01-a,C9H8N2,1,N,0,True,243d74c3939484a82fdfd0e0214ae4a3,8,"PAVNEG, PAVNEG, PAVNEG, PAVNEG, PAVNIK, ... (3 more)",Pt(8)
unq_CSD-PAVZAO-02-a,C6H6N4,2,N-N,0,True,235a3815760c6c7e749d1d891f26c1ce,276,"PAVZAO, PAVZAO, PAVZES, PAVZES, PAVZIW, ... (271 more)","Co(79), Zn(38), Ru(33), Cu(30), Cd(25), ... (10 more)"
unq_CSD-PAVZOE-01-b,C5H8N2,1,N,0,True,fd92b629d189c4951ffbb7805fe1976b,297,"PAVZOE, PAVZOE, PAYZIA, SIPJUX, SIPJUX, ... (292 more)","Cu(76), Pd(39), Re(29), Co(27), Pt(18), ... (20 more)"
unq_CSD-PAWHUR-03-a,C3H3,3,C-C-C,-1,True,9f06579df290c56db46ba5d569fb5f5a,4,"PAWHUR, LEKYOQ, HUTFEJ, OKEJAP","Pd(3), Ni(1)"
unq_CSD-PAWTIR-02-a,C8H6N2,2,N-N,0,True,59bc0a1bc9b74840abadba6002330a89,28,"PAWTIR, BOXZEW, FULRIO, FULRIO, ZUFTUS, ... (23 more)","Ru(11), Pr(6), Fe(4), Co(2), Ni(2), ... (3 more)"
unq_CSD-PAWXOD-01-b,C7H7N3,1,N,0,True,c916b898e4e55585f84b63ccc998dac3,25,"PAWXOD, PIWRIW, PIWRIW, PIWROC, PIWROC, ... (20 more)","Co(8), Ni(6), Cu(6), Fe(2), U(2), ... (1 more)"
unq_CSD-PAXFIG-02-a,C6H4N2S2,2,N-N,0,True,63711e23040a17d3cbf88f5eb1037778,7,"PAXFIG, YEVGIS, QAYRUH, QAYSAO, SAFGAH, ... (2 more)","Ni(3), Ir(2), Cu(2)"
unq_CSD-PAXQUA-01-a,C1H5N1,1,N,0,True,d9ab21aa50b2110ca0d901b34609597d,131,"PAXQUA, PAXQUA, SIPLEI, SUDMIN02, SUDMIN02, ... (126 more)","Pt(66), Mn(25), Co(15), Cr(5), Cu(5), ... (6 more)"
unq_CSD-PAXSEP-02-a,C10H8N2O2,2,N-N,0,True,d2a704d312f2a459f14d72955d0ec6ba,16,"PAXSEP, PAXSOZ, CIBKIJ, GAVPUQ, GAVQAX, ... (11 more)","Ru(8), Cu(3), Zn(2), Pd(1), Re(1), ... (1 more)"
unq_CSD-PAXTIU-01-b,C6H8N2,1,N,0,True,664d31a9aa0e544d2e13e18d8043702d,21,"PAXTIU, PAXTIU, PAXTIU, PAXTIU, LIQLED, ... (16 more)","Co(8), Cu(6), Ni(4), Zn(2), Mn(1)"
unq_CSD-PAXXUK-02-a,C7H8N2O1,2,N-N,0,True,d8fde1f1696fc991a3a182643ebfc0a5,28,"PAXXUK, PAXYAR, MEBSIW, MEBSIW, QIQLAD, ... (23 more)","Ni(12), Zn(5), Cu(4), Ru(3), Mn(3), ... (1 more)"
unq_CSD-PAYHOM01-01-a,C13H10,1,C,0,True,1f0a70472df63e7f90c8b293a70c3801,31,"PAYHOM01, PEXXAR, PEXXAR01, PIZGEN, PIZGIR, ... (26 more)","Ru(11), Fe(7), Rh(4), Ir(3), Os(2), ... (4 more)"
unq_CSD-PAYNEJ-01-b,C15H11N1,1,N,0,True,d8cd50f0e205cf39f3d229e9fa389048,2,"PAYNEJ, PAYNEJ01",Pt(2)
