attempt,success,complex idx,complex name,note,ligand names,ligand stoichiometries,ligand charges,batch idx,batch name,metal,oxi state,spin,topology,similarity,total charge,optimization,isomers,random seed
481,False,,,clashing ligands,"('unq_CSD-QAMHOD-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C15H18N1P1', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
482,False,,,clashing ligands,"('unq_CSD-QIBKOC-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C33H31N1P2', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
483,False,,,clashing ligands,"('unq_CSD-QIBKOC-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C33H31N1P2', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
484,False,,,clashing ligands,"('unq_CSD-QISHEF-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C22H22N1P1', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
485,False,,,clashing ligands,"('unq_CSD-QISHEF-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C22H22N1P1', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
486,False,,,clashing ligands,"('unq_CSD-QIYVID-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C16H15N2P1', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
487,False,,,clashing ligands,"('unq_CSD-QIYVID-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C16H15N2P1', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
488,True,144.0,AMOFEGOW_PN_Ni,no optimization,"('unq_CSD-QOCXEL-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C26H24N1P1', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
489,False,,,clashing ligands,"('unq_CSD-QOCXEL-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C26H24N1P1', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
490,False,,,clashing ligands,"('unq_CSD-QOJPOV-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C19H21N2P1', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
491,False,,,clashing ligands,"('unq_CSD-QOJPOV-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C19H21N2P1', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
492,True,145.0,UBIQEQIH_PN_Ni,no optimization,"('unq_CSD-QOKRIR-02-a', 'unq_CSD-OZUJID-01-a', 'unq_CSD-OZOWIK-01-c')","('C17H22N1P1', 'Br1', 'C6H5')","(0.0, -1.0, -1.0)",1,P_N_Donors_Ni_Metal_Centre,Ni,+2,1,"(2, 1, 1)","(1, 2, 3)",0,False,Generate All,0
