metal,dist_P,dist_N,dist_Br,dist_C,complex,P_N_bite_angle,homo,lumo,hlgap,metal_charge,dir
Pd,2.314226696306686,2.3152170627233573,2.4963242337348936,1.9855742195741712,IYEREMIK_PN_Pd,89.24677830255548,-7.424846877534175,0.6536872524979607,8.078534130032136,-0.403451506,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/IYEREMIK_PN_Pd
Pd,2.2650767731374746,2.190283969539371,2.4705344952882,2.0017489727588336,ADUXIBUL_PN_Pd,81.48676143814224,-7.381867501668947,0.2926884630915987,7.674555964760546,-0.438105166,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/ADUXIBUL_PN_Pd
Pd,2.277949896616011,2.2236432409129554,2.482419788251309,1.9996961519873395,SIDOKAKE_PN_Pd,88.72713455406222,-7.3269548450038915,-0.0451889966588552,7.281765848345036,-0.56484056,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/SIDOKAKE_PN_Pd
Pd,2.273742968274148,2.279025622431443,2.482379510583726,1.990312273736655,WUKUKIYE_PN_Pd,79.05433250184417,-6.987415046366669,0.28828371537647757,7.275698761743147,-0.362417991,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/WUKUKIYE_PN_Pd
Pd,2.346678755397819,2.3063870073296178,2.440184708345177,2.0100380862291938,PUGAMINA_PN_Pd,80.86426396270356,-7.356258241336536,0.41899843348499893,7.775256674821535,-0.256912812,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/PUGAMINA_PN_Pd
Pd,2.371602764031331,2.1499623970595594,2.4468561973022265,2.0005570527067382,RIPEWEZU_PN_Pd,81.1278012032456,-7.564964231238566,-0.4211572976984338,7.143806933540132,-0.268985632,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/RIPEWEZU_PN_Pd
Pd,2.290743987634046,2.303033342177852,2.4950826203763987,1.9918575552436655,AREVOGID_PN_Pd,94.06759529318167,-7.478146307236542,-0.17632396494906413,7.301822342287478,-0.354063247,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/AREVOGID_PN_Pd
Pd,2.3338947305748827,2.2400515959227403,2.478421325487134,1.990833026640998,OBUGOHID_PN_Pd,83.64107583395423,-7.408517406999826,0.7454887076539819,8.154006114653807,-0.467738027,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/OBUGOHID_PN_Pd
Pd,2.283115338752786,2.143885563850993,2.5080392807430636,1.992344960203403,ADIXUDUR_PN_Pd,80.53291057692728,-7.602157106072912,0.5849836318716541,8.187140737944567,-0.346029627,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/ADIXUDUR_PN_Pd
Pd,2.2837283557533152,2.339062200202854,2.4848838067849184,1.9882525474062476,EDAFEPAP_PN_Pd,82.29710756158735,-7.582165364070223,0.5612988695355192,8.143464233605743,-0.342946483,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/EDAFEPAP_PN_Pd
Pd,2.4086991399464814,2.1549886396252025,2.4582390101175706,2.0148971753381395,UDATAVAY_PN_Pd,91.68259805277766,-7.271561662490239,-0.5925290251305371,6.679032637359702,-0.369210743,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/UDATAVAY_PN_Pd
Pd,2.4115293151160757,2.141043523356989,2.446277834850323,2.005962012122765,RIJOLUGU_PN_Pd,81.99283627339715,-7.358912330988773,-0.2936171468462776,7.065295184142496,-0.298866611,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/RIJOLUGU_PN_Pd
Pd,2.3869479004157284,2.1057567183033634,2.45587716014915,2.006757587611931,EKEZEFIH_PN_Pd,81.63126651586965,-7.25904184028566,1.133220252895284,8.392262093180943,-0.273082836,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/EKEZEFIH_PN_Pd
Pd,2.2853215526231123,2.2995169119334777,2.5036366774975303,1.9850420855524695,XACEFAMO_PN_Pd,81.45805321847075,-7.663530371410692,-0.15519074616060505,7.508339625250087,-0.416203795,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/XACEFAMO_PN_Pd
Pd,2.3747103777485092,2.172536612451356,2.447409070983626,2.0074534465122302,MAMARECA_PN_Pd,77.32409020549011,-7.54456886276143,-1.0025918384155872,6.541977024345843,-0.261939458,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/MAMARECA_PN_Pd
Pd,2.4187451838264162,2.091533471968168,2.4500645587403698,2.005710231400637,ECINEGUS_PN_Pd,79.7370560782152,-7.550252178220203,0.7126554695006213,8.262907647720823,-0.264215771,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/ECINEGUS_PN_Pd
Pd,2.4040633040651382,2.180455977561499,2.4414175743877222,2.000382540565678,UFIJEKIZ_PN_Pd,81.92300559356856,-7.070408519045457,0.027413192844946317,7.097821711890403,-0.291588585,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/UFIJEKIZ_PN_Pd
Pd,2.4360741213824593,2.171418126147551,2.448044825160578,1.9944498945173121,ICOMUDIX_PN_Pd,79.57191315183559,-7.397561123768834,-0.36590863212964275,7.031652491639191,-0.22017772,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/ICOMUDIX_PN_Pd
Pd,2.3810756570888074,2.150310151463671,2.4408676806061766,1.9932648079459652,VEJARIDA_PN_Pd,82.65745785178731,-7.827360134218431,-0.14997370676442096,7.677386427454009,-0.218536769,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/VEJARIDA_PN_Pd
Pd,2.316400881623477,2.2325876534381988,2.4886786159389636,1.9854590735601754,COVOSULO_PN_Pd,81.93332336114119,-7.37061956681299,0.33786255417006505,7.708482120983055,-0.378515206,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/COVOSULO_PN_Pd
Pd,2.266267389159982,2.223969301791287,2.472800004142084,1.9928527483117602,ORORIBIJ_PN_Pd,83.49567139745649,-7.68457084019321,0.2689670007604468,7.953537840953657,-0.374789723,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/ORORIBIJ_PN_Pd
Pd,2.353519340982948,2.1935314353972317,2.435197930302327,1.9976598514435764,APAYUTET_PN_Pd,78.32658203275663,-7.57819631144683,-1.1173299550676714,6.460866356379158,-0.223184226,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/APAYUTET_PN_Pd
Pd,2.3935673636478003,2.1632401981298517,2.4504402437889943,2.0036561448875174,JUFOKITI_PN_Pd,80.794552458253,-7.413170390575066,0.15232971936734002,7.5655001099424055,-0.263453543,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/JUFOKITI_PN_Pd
Pd,2.391517799275363,2.155039610808913,2.447589933748851,2.0125887785208234,EPELOXIW_PN_Pd,86.13322395800063,-7.373922947323904,-0.4281473392421083,6.945775608081796,-0.354730406,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/EPELOXIW_PN_Pd
Pd,2.3987885921328487,2.1514154886781496,2.4518408606583506,2.0144556596262153,IFOSIZEM_PN_Pd,87.45801011419475,-7.359848838016653,-0.545303655491708,6.814545182524945,-0.365773508,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/IFOSIZEM_PN_Pd
Pd,2.3976766148794724,2.0763875394489,2.4537892665719796,2.007007133665271,RIYUROWI_PN_Pd,80.80708763189986,-7.410639405228794,-0.8924529356418835,6.518186469586911,-0.172822454,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/RIYUROWI_PN_Pd
Pd,2.405945831216727,2.1379173491820724,2.44604333514616,2.004883686402058,DIGABUGA_PN_Pd,82.79329409433142,-7.338833403708384,-0.3963426506265602,6.942490753081824,-0.309678267,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/DIGABUGA_PN_Pd
Pd,2.4174454690439267,2.255412999873552,2.4582062409307843,2.0002129640590582,UWALUYUV_PN_Pd,89.55784508663855,-7.411047902541164,0.5734463882909834,7.9844942908321475,-0.302690742,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/UWALUYUV_PN_Pd
Pd,2.2448587873787202,2.23926545241116,2.4915536967504806,1.9918284699887112,IYIDINAV_PN_Pd,82.59989773356428,-7.668530844373022,-0.7032059813419728,6.965324863031049,-0.312636161,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/IYIDINAV_PN_Pd
