Ligand ID,Stoichiometry,Denticity,Formal Charge,Donors,Number of Atoms,Molecular Weight,Ligand Planarity,Haptic,Beta-Hydrogen,Max. Interatomic Distance,Avg. M-D Bond Length,Graph ID,CSD Occurrences,CSD Complex IDs,CSD Metal Count
unq_CSD-FAKFEC-01-d,C3H8O3P1,1,-1,C,15,123.067762,0.272950816,FALSE,FALSE,6.209926423,2.125247593,fdc82c8da48fd1080c97a70002cff7d5,1,FAKFEC,Pt(1)
unq_CSD-FAKGEE-02-a,C14H15N2,2,-1,N-N,31,211.288,0.124554847,FALSE,TRUE,9.24197302,2.305423431,53be27b51288655cbc81edd009fb4faf,4,"FAKGEE, FAKGEE, FAKGII, FAKGII",Zr(4)
unq_CSD-FAKHOR-02-a,C13H14F6N1O1S1,2,-1,O-S,36,346.311419,0.157458179,FALSE,TRUE,10.06485723,2.525665238,0b08ec6cf4db9df30a789b266a5e5511,2,"FAKHOR, FAKWEW",Hg(2)
unq_CSD-FAKLIQ-01-d,C33H32N2,1,0,C,67,456.633,0.056507812,FALSE,FALSE,11.78633733,1.971446862,2bfa2ac18f7b24b37b5945dcd5a04ab5,2,"FAKLIQ, FAKLUC",Pd(2)
unq_CSD-FAKNEN-02-a,C24H32O8,2,-2,C-C,64,448.512,0.070865218,FALSE,FALSE,12.24151532,2.050791285,4f68ee6a0e2cc041ddbd921f25339653,1,FAKNEN,Pd(1)
unq_CSD-FAKVIZ-03-a,C13H14F6N1O1S1,3,-1,S-N-O,36,346.311419,0.139319575,FALSE,TRUE,9.811342556,2.381758941,1bbdd5bfd1d3543757bc0df0c3eb6c4d,2,"FAKVIZ, FAKWEW","Cd(1), Hg(1)"
unq_CSD-FAKVOF-03-a,C13H14F6N1O1Se1,3,-1,Se-O-N,36,393.222419,0.139036825,FALSE,TRUE,9.911820352,2.407190411,d54d9a6181e34a1dc0958343ed777bdd,2,"FAKVOF, FAKWAS","Cd(1), Zn(1)"
unq_CSD-FAKWOE-01-d,C7H12N2,1,0,C,21,124.187,0.317615336,FALSE,FALSE,6.225825407,1.98021263,14886e81673558563be461c2acfba46d,1,FAKWOE,Pd(1)
unq_CSD-FALDUR-01-a,C2H1Cl1N1,1,-1,C,5,74.487,0.694197761,FALSE,FALSE,3.481097751,2.014552126,0cb7987781394c9a95c9c78ee539b1ba,2,"FALDUR, FOWCEZ",Co(2)
unq_CSD-FALFEH-03-a,C10H12N2O3,3,-2,N-O-O,27,208.217,0.24621745,FALSE,TRUE,9.028254457,1.988563514,11a3bdae68543d946d95a38bb40628b2,2,"FALFEH, FALFEH",Ti(2)
unq_CSD-FALFUV-01-b,C9H5O1S2,1,-1,C,17,193.258,0.700856875,FALSE,TRUE,8.748523232,1.871653488,b3442a24085b44a29936be82496ddb1d,1,FALFUV,Ni(1)
unq_CSD-FALGOQ-01-b,C15H11N3O1,1,0,N,30,249.273,0.141756202,FALSE,TRUE,10.5170576,2.030628972,93e880943c19f3e09848e6a4b4ff6b15,2,"FALGOQ, FALGOQ",Co(2)
unq_CSD-FALJAD-02-a,C13H18N1O3,2,-1,N-O,35,236.291,0.13985504,FALSE,TRUE,12.11335664,1.882341206,8605d95896c8355877a3273fa7978115,2,"FALJAD, FALJAD",Ni(2)
unq_CSD-FALJEH-02-a,C17H20N1O3,2,-1,N-O,41,286.351,0.105419077,FALSE,TRUE,13.28559851,1.865963133,e4703da1e0f937298485ed23185a0814,2,"FALJEH, FALJEH",Ni(2)
unq_CSD-FALJIL-02-a,C17H20N1O3,2,-1,N-O,41,286.351,0.115186818,FALSE,TRUE,14.37356097,1.885219169,77f1a46447b440cbc914a381b925159b,2,"FALJIL, FALJIL",Ni(2)
unq_CSD-FALJIP-02-a,C13H8N1O1,2,-1,N-O,23,194.213,0.637524977,FALSE,TRUE,8.910280886,1.962358287,95fc0db780bea95bb9f6b340eb451ec1,2,"FALJIP, FALJIP",Mn(2)
unq_CSD-FALKOU-03-a,C14H8Cl1N3O4,3,-2,O-O-N,30,317.685,0.57888874,FALSE,TRUE,14.59743344,1.828848444,75bae2f03bee3c17a2fc1c347a26510f,2,"FALKOU, FIRJOH","Ni(1), Mo(1)"
unq_CSD-FALPEO-04-a,C16H16O1,4,0,C-C-C-C,33,224.303,0.122181958,TRUE,TRUE,10.75811323,2.027203648,46b30b1006343b5fed14da31368842b1,1,FALPEO,Ni(1)
unq_CSD-FALQUE-02-a,C5H4N1O1S1,2,-1,O-N,12,126.153,0.733197245,FALSE,TRUE,5.820932546,1.928068729,9d7ad3f4e8c8c05e98c11158130ba2f4,3,"FALQUE, FALQUE01, FALQUE02",Co(3)
unq_CSD-FALRAL-02-a,C5H4N1O2S1,2,-1,S-N,13,142.152,0.364521152,FALSE,TRUE,6.206254752,2.065323397,50db222d6b614b09403e03445af696fe,1,FALRAL,Co(1)
unq_CSD-FALWIB-02-a,C17H20N3O3,2,-1,O-N,43,314.365,0.116765035,FALSE,TRUE,11.17949411,1.972192635,432c5726a85fc20ccc7d225dc9c9484c,2,"FALWIB, FALWIB",Cu(2)
unq_CSD-FAMCAY-01-a,C28H42N1O4P1,1,0,P,76,487.620762,0.07597356,FALSE,FALSE,12.57405728,2.295950483,69483a300e98592e98f23043437fce51,1,FAMCAY,Pd(1)
unq_CSD-FAMFUV-04-a,C44H45N2P2,4,-1,P-P-N-N,93,663.805524,0.044880126,FALSE,TRUE,13.19479869,2.161269106,389e2c45cb9f487c6661e6dd216a73a4,1,FAMFUV,Ru(1)
unq_CSD-FAMGEG-04-a,C44H42N2P2,4,0,P-P-N-N,90,660.781524,0.046241865,FALSE,TRUE,13.31620372,2.182205224,2976bfb3e9156ea21f199b4b1b94231e,1,FAMGEG,Ru(1)
unq_CSD-FAMGOR-04-a,C22H30N4,4,0,N-N-N-N,56,350.51,0.071712996,FALSE,TRUE,11.33591074,1.996350652,63995a747d9b2d893366c2a00bdb41f7,1,FAMGOR,Fe(1)
unq_CSD-FAMKAH-02-a,C12H11N1P1S2,2,-1,S-N,27,264.320762,0.168261449,FALSE,TRUE,9.488144297,2.175389639,b9848422aea9bf485f41b990a4697584,2,"FAMKAH, FAMKAH",Pt(2)
unq_CSD-FAMKOV-02-a,C7H16O6P2,2,0,O-O,31,258.146524,0.142861486,FALSE,FALSE,9.584917722,2.449024273,3f0219fc276100dff05ae5ad6c185bf2,2,"FAMKOV, FAMKOV",Pr(2)
unq_CSD-FAMMIP-02-a,C8H18N2,2,0,N-N,28,142.246,0.138137903,FALSE,TRUE,7.088563728,2.027530503,e7f84bce74e2f2be9e7f29e6a31ac1f7,1,FAMMIP,Pt(1)
unq_CSD-FAMQOB-02-a,C17H10Cl2N1O1,2,-1,O-N,31,315.173,0.192860271,FALSE,FALSE,13.14008937,2.077887359,b7c5088e93cc1cf10b9fabd30cb322a7,2,"FAMQOB, FAMQOB",Re(2)
unq_CSD-FAMQUH-02-a,C19H16N1O3,2,-1,O-N,39,306.341,0.363619871,FALSE,FALSE,13.90943145,2.083120179,5f3c9735e51477960ed9275e4e0eea61,2,"FAMQUH, FAMQUH",Re(2)
unq_CSD-FAMYID-02-a,C26H28P2,2,0,P-P,56,402.457524,0.082838469,FALSE,TRUE,15.20069452,2.259544545,15ebd1a71f552149cf0117e95f725275,1,FAMYID,Pd(1)
unq_CSD-FAMYOJ-02-a,C23H24P2S2,2,0,P-P,51,426.512524,0.127787033,FALSE,TRUE,14.60859258,2.255813567,c179aecbb5b4c735aaba29c74677f156,1,FAMYOJ,Pd(1)
unq_CSD-FANBAA-02-a,C25H32N4,2,0,C-C,61,388.559,0.093157079,FALSE,FALSE,14.0651,2.014432559,dd0d2be7fde675fcb2b4ebfdf75a228b,2,"FANBAA, FANBEE",Pd(2)
unq_CSD-FANCOO-01-a,C9H10N1O4S1,1,-1,N,25,228.242,0.181304448,FALSE,FALSE,9.571093502,2.07797821,798d58333f4f6fb221645412664645e2,1,FANCOO,Cu(1)
unq_CSD-FANDAB-02-a,C9H10N1O3S2,2,-1,S-N,25,244.303,0.153437488,FALSE,FALSE,8.896651499,2.308082061,a1901ce98dbec3c3163ad37c9ddb28cc,1,FANDAB,Cu(1)
unq_CSD-FANFIJ-03-a,C9H24N5,3,1,N-N-N,38,202.326,0.12607578,FALSE,TRUE,7.724637157,2.003413362,a71372f4a4c9cfaeacb8dd71bfc671ff,1,FANFIJ,Cu(1)
unq_CSD-FANFIM-01-b,C10H13N1O1S2,1,0,N,27,227.34,0.158177489,FALSE,TRUE,9.286926355,2.023302157,f512ffccf2de528b8a3ccf2b7786db24,2,"FANFIM, FANFIM",Pd(2)
unq_CSD-FANGAC-02-a,C5H9S3,2,-1,S-S,17,165.307,0.259836446,FALSE,FALSE,8.316522209,2.683830718,4672f7e23a6145df705b71b1434827e9,2,"FANGAC, FANGAC",Cd(2)
unq_CSD-FANJEM-02-a,C26H40O2P2,2,0,P-P,70,446.551524,0.068859749,FALSE,TRUE,11.79562634,2.316043155,28165bcee3733b0853195da65301829d,1,FANJEM,Pd(1)
unq_CSD-FANJIQ-03-a,C37H28P2,3,-2,C-C-C,67,534.578524,0.049166326,FALSE,TRUE,11.86694148,2.077491429,c991e0dcafece975653bee0113c7eada,2,"MAMTUQ, FANJIQ","Rh(1), Pt(1)"
unq_CSD-FANLUB-04-a,C27H34N2O3,4,-2,O-O-N-N,66,434.58,0.112922552,FALSE,TRUE,14.67221414,1.944378414,e2d6d8c71dfce0300b148472aef6116c,1,FANLUB,Cu(1)
unq_CSD-FANMEM-02-a,C22H26N4,2,0,N-N,52,346.478,0.119500462,FALSE,TRUE,13.29734386,2.014635203,af3ad1a43f468f98e2ecdc6b5ee48ced,1,FANMEM,Co(1)
unq_CSD-FANQAO-01-a,C4H11N3,1,0,N,18,101.153,0.335853823,FALSE,FALSE,6.949523184,2.069293515,9f6952e3699f8d01f0fc9c04e765e185,1,FANQAO,Ru(1)
unq_CSD-FANQES-01-a,C5H13N3,1,0,N,21,115.18,0.272982218,FALSE,FALSE,7.066992999,2.097693757,4565dc7b9331c99dcf06360db2c8cc3d,1,FANQES,Ru(1)
unq_CSD-FANQUI-06-a,C56H18B2F42N6O6S6,6,-2,N-N-N-N-N-N,136,1882.708933,0.035772559,FALSE,FALSE,18.07856148,1.909068213,327dea5eae2e409bca05f144b7bfd8ee,2,"FANQUI, FANRIX","Fe(1), Co(1)"
unq_CSD-FANRAP-06-a,C50H18B2F30N6O6S6,6,-2,N-N-N-N-N-N,118,1582.662095,0.03889936,FALSE,FALSE,17.16889566,1.966731816,7abec83c66a48ec9443a7ec2b74ae5a7,1,FANRAP,Co(1)
unq_CSD-FANSIY-02-a,C20H23N2O4,2,-1,N-C,49,355.414,0.151747601,FALSE,TRUE,13.25095724,2.029091291,c791bacaa9abe4b42b33640249ed522d,1,FANSIY,Pd(1)
unq_CSD-FANSUK-02-a,C8H7N2O3,2,-1,N-C,20,179.155,0.46106724,FALSE,TRUE,8.657345498,1.990949766,eff3c1307286293c3f46bd7135a8800a,1,FANSUK,Pd(1)
unq_CSD-FANTEV-02-a,C8H6N2O3,2,-2,N-C,19,178.147,0.46329954,FALSE,TRUE,8.416606143,2.013912793,0451d6f01a339c57831df92ad399c08c,1,FANTEV,Pd(1)
unq_CSD-FANTIZ-02-a,C14H14N2O1,2,0,N-N,31,226.279,0.151606512,FALSE,TRUE,9.008353508,2.063025263,e95b2b7d23a018f2412a244c6d657016,1,FANTIZ,Pd(1)
unq_CSD-FANTOF-02-a,C14H14N2O1,2,0,N-O,31,226.279,0.16883583,FALSE,TRUE,9.856136475,2.110571363,765048a131741590e5ca9c7f294eb8fb,2,"FANTOF, FANTOF",Ni(2)
unq_CSD-FANVOI-02-a,C14H22O3P1S1,2,-1,P-O,41,301.360762,0.094965349,FALSE,FALSE,8.277532916,2.269556151,d531d5452c9048aa0f20243bfe8b31cd,5,"FANVOI, FANVUO, FANWAV, FANWEZ, RONKUC","Pt(4), Pd(1)"
unq_CSD-FANVUN-04-a,C9H20N2O2S2,4,-2,S-S-N-N,35,252.391,0.132844198,FALSE,TRUE,7.507602534,2.078337824,95174a7cb7c0c0c301ea3e01d2016c70,1,FANVUN,Ni(1)
unq_CSD-FANWOH-01-b,C13H13N3O1,1,0,N,30,227.267,0.36435004,FALSE,TRUE,12.7177836,2.005603084,e975290bfb68325d5657fb67be968285,10,"FANWOH, FANWOH, FANWUN, FANWUN, FANXAU, ... (5 more)","Cu(6), Ag(4)"
unq_CSD-FANXOK-03-a,C21H13F6N3,3,0,N-N-N,43,421.346419,0.158975654,FALSE,TRUE,14.72601239,2.087563961,302dbb307933f2564e5c98c808c03bb5,1,FANXOK,Ni(1)
unq_CSD-FANYOK-02-a,C20H22N1O2,2,-1,N-C,45,308.401,0.109925191,FALSE,TRUE,12.14424495,2.092147609,5c670cea4b36a0b6c94a83a2a541ef97,4,"FANYOK, FANYOK, RUNPUM, RUNPUM","Zn(2), Ti(2)"
unq_CSD-FANYUQ-02-a,C14H16N1O2,2,-1,N-C,33,230.287,0.179245977,FALSE,TRUE,11.99938948,2.068871182,ad3f294dfb0b94868abe60e57b8faa57,2,"FANYUQ, FANYUQ",Zn(2)
unq_CSD-FAPBUV-06-a,C30H20B2F2I2N6O6,6,-2,N-N-N-N-N-N,68,873.9517463,0.055646467,FALSE,FALSE,14.31261488,1.909987132,b22e19a4e64d6c3049905513b19a3a37,1,FAPBUV,Fe(1)
